Country Code,Short Name,Region,year,GDPPerCapita,GDPperCapitaPPP,Homicide,HomicideFemale,HomicideFemale,Population
ABW,Aruba,Latin America & Caribbean,1995,"26,705","39,113",,,,"80,324"
AFG,Afghanistan,South Asia,1995,,,,,,"17,099,541"
AGO,Angola,Sub-Saharan Africa,1995,"1,879","3,331",,,,"14,268,994"
ALB,Albania,Europe & Central Asia,1995,"1,703","4,130",7,,,"3,187,784"
AND,Andorra,Europe & Central Asia,1995,"32,918",,,,,"63,850"
ARE,United Arab Emirates,Middle East & North Africa,1995,"61,818","100,977",,,,"2,448,820"
ARG,Argentina,Latin America & Caribbean,1995,"7,630","13,894",8,,,"34,994,814"
ARM,Armenia,Europe & Central Asia,1995,"1,044","2,173",4,,,"3,217,342"
ASM,American Samoa,East Asia & Pacific,1995,,,,,,"52,868"
ATG,Antigua and Barbuda,Latin America & Caribbean,1995,"10,441","16,476",,,,"73,619"
AUS,Australia,East Asia & Pacific,1995,"38,093","30,412",2,,,"18,072,000"
AUT,Austria,Europe & Central Asia,1995,"36,538","33,792",1,,,"7,948,278"
AZE,Azerbaijan,Europe & Central Asia,1995,"1,216","3,320",,,,"7,685,000"
BDI,Burundi,Sub-Saharan Africa,1995,263,825,,,,"5,962,058"
BEL,Belgium,Europe & Central Asia,1995,"35,228","32,613",,,,"10,136,811"
BEN,Benin,Sub-Saharan Africa,1995,631,"1,515",,,,"5,905,558"
BFA,Burkina Faso,Sub-Saharan Africa,1995,361,893,,,,"10,089,878"
BGD,Bangladesh,South Asia,1995,446,"1,438",,,,"118,706,871"
BGR,Bulgaria,Europe & Central Asia,1995,"3,782","8,446",6,,,"8,406,067"
BHR,Bahrain,Middle East & North Africa,1995,"21,910","42,897",,,,"563,699"
BHS,The Bahamas,Latin America & Caribbean,1995,"27,022","28,222",,,,"280,150"
BIH,Bosnia and Herzegovina,Europe & Central Asia,1995,867,"1,826",,,,"3,843,712"
BLR,Belarus,Europe & Central Asia,1995,"2,076","5,460",9,,,"10,194,000"
BLZ,Belize,Latin America & Caribbean,1995,"3,423","6,204",,,,"206,963"
BMU,Bermuda,North America,1995,"65,691","41,999",,,,"59,746"
BOL,Bolivia,Latin America & Caribbean,1995,"1,504","4,106",,,,"7,566,714"
BRA,Brazil,Latin America & Caribbean,1995,"8,526","11,043",,,,"162,296,612"
BRB,Barbados,Latin America & Caribbean,1995,"13,143","13,323",,,,"264,959"
BRN,Brunei,East Asia & Pacific,1995,"37,704","86,116",,,,"297,192"
BTN,Bhutan,South Asia,1995,983,"2,897",,,,"514,877"
BWA,Botswana,Sub-Saharan Africa,1995,"4,238","8,716",,,,"1,569,094"
CAF,Central African Republic,Sub-Saharan Africa,1995,431,852,,,,"3,352,767"
CAN,Canada,North America,1995,"37,569","32,226",2,,,"29,354,000"
CHE,Switzerland,Europe & Central Asia,1995,"61,773","46,257",1,,,"7,040,687"
CHI,Channel Islands,Europe & Central Asia,1995,,,,,,"144,046"
CHL,Chile,Latin America & Caribbean,1995,"8,051","12,172",,,,"14,296,613"
CHN,China,East Asia & Pacific,1995,"1,228","2,564",,,,"1,204,855,000"
CIV,Côte d'Ivoire,Sub-Saharan Africa,1995,"1,314","2,898",,,,"14,540,820"
CMR,Cameroon,Sub-Saharan Africa,1995,"1,065","2,384",,,,"13,460,994"
COD,Dem. Rep. Congo,Sub-Saharan Africa,1995,401,792,,,,"41,595,744"
COG,Congo,Sub-Saharan Africa,1995,"2,418","4,582",,,,"2,799,255"
COL,Colombia,Latin America & Caribbean,1995,"4,912","8,508",70,,,"37,441,977"
COM,Comoros,Sub-Saharan Africa,1995,"1,257","2,319",,,,"475,394"
CPV,Cabo Verde,Sub-Saharan Africa,1995,"1,377","2,423",,,,"389,127"
CRI,Costa Rica,Latin America & Caribbean,1995,"5,646","8,952",5,,,"3,510,926"
CUB,Cuba,Latin America & Caribbean,1995,"2,844",,,,,"10,906,043"
CUW,Curaçao,Latin America & Caribbean,1995,,,,,,"145,139"
CYM,Cayman Islands,Latin America & Caribbean,1995,,,,,,"31,672"
CYP,Cyprus,Europe & Central Asia,1995,"23,195","25,524",,,,"855,384"
